"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1","","Date","Type"," ","Counter"," ","Quantity",,"4/28/2023","VOLUME","           123.6","KGL","               0","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1","","Date","Type"," ","Counter"," ","Quantity",,"4/28/2023","TIME","           93:58","","           00:00","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1","","Date","Type"," ","Counter"," ","Quantity",,"4/29/2023","VOLUME","           123.6","KGL","               0","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1","","Date","Type"," ","Counter"," ","Quantity",,"4/29/2023","TIME","           94:14","","           00:16","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1","","Date","Type"," ","Counter"," ","Quantity",,"4/30/2023","VOLUME","           123.6","KGL","               0","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1","","Date","Type"," ","Counter"," ","Quantity",,"4/30/2023","TIME","           94:14","","           00:00","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/15/2023","VOLUME","            53.5","KGL","               0","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/15/2023","TIME","           36:53","","           00:00","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/16/2023","VOLUME","            53.6","KGL","             0.1","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/16/2023","TIME","           36:57","","           00:04","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/17/2023","VOLUME","            53.8","KGL","             0.2","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/17/2023","TIME","           37:05","","           00:08","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/18/2023","VOLUME","            53.9","KGL","             0.1","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/18/2023","TIME","           37:09","","           00:04","","1","Of","1"
