,,,,,
Valve,Date and Time,Quantity [gal],Quantity Accumulator [gal],Time Duration,Time Accumulator
DC 3_MPV 8_786,3/25/2023,700,36100,00:24:00,30:41:26
DC 3_BV 2_786,3/25/2023,700,13700,00:10:00,11:30:35
DC 3_MPV 5_786,3/25/2023,2800,44500,00:24:00,23:18:54
DC 3_MPV 7_786,3/25/2023,2600,37200,00:24:00,22:58:23
DC 4_DV 4_786,3/25/2023,200,25300,00:12:00,19:56:43
DC 4_BV 3_786,3/25/2023,600,38200,00:10:00,20:09:21
DC 4_MPV 9_786,3/25/2023,1000,45000,00:24:00,34:47:54
DC 4_MPV 13_786,3/25/2023,600,44800,00:24:00,31:13:16
DC 4_MPV 11_786,3/25/2023,1400,73400,00:24:00,30:59:01
DC 4_DV 5_786,3/25/2023,200,12400,00:12:00,18:44:23
DC 4_BV 4_786,3/25/2023,400,19000,00:10:00,14:26:00
DC 4_MPV 14_786,3/25/2023,1000,48700,00:24:00,30:50:06
DC 4_MPV 10_786,3/25/2023,1600,52200,00:24:00,31:08:17
DC 4_MPV 12_786,3/25/2023,1500,47100,00:24:00,30:59:40
DC 4_DUMMY,3/25/2023,3800,149200,02:00:02,176:32:02
DC 3_DUMMY,3/25/2023,0,62000,02:00:02,170:30:30
Total 3/25/2023,,,,11:16:04,
3/26/2023,,,,,
DC 7_DV 2_786,3/26/2023,,,00:00:00,18:45:18
DC 7_DV 1_786,3/26/2023,,,00:00:00,18:25:00
DC 7_MPV 1_786,3/26/2023,,,00:00:00,31:00:00
DC 7_MPV 2_786,3/26/2023,,,00:00:00,30:49:46
DC 7_MPV 3_786,3/26/2023,,,00:00:00,30:48:00
DC 3_DV 3_786,3/26/2023,0,34700,00:00:00,18:56:01
DC 3_BV 1_786,3/26/2023,0,31700,00:00:00,15:03:22
DC 3_MPV 6_786,3/26/2023,0,92000,00:00:00,30:37:39
DC 3_MPV 4_786,3/26/2023,0,62700,00:00:00,47:38:11
DC 3_MPV 8_786,3/26/2023,0,36100,00:00:00,30:41:26
DC 3_BV 2_786,3/26/2023,0,13700,00:00:00,11:30:35
DC 3_MPV 5_786,3/26/2023,0,44500,00:00:00,23:18:54
DC 3_MPV 7_786,3/26/2023,0,37200,00:00:00,22:58:23
DC 4_DV 4_786,3/26/2023,0,25300,00:00:00,19:56:43
DC 4_BV 3_786,3/26/2023,0,38200,00:00:00,20:09:21
